[ServerState.cpp               :  396] [14:01 29:015] _INFO [6920] [rtmp] onAck(before): sequenceNo=837428974, sentBytes=837362268, sendLimit=838674926(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:01 29:015] _INFO [6920] [rtmp] onAck(after): sequenceNo=837428974, sentBytes=837428974, sendLimit=839928974(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:01 33:390] _INFO [6920] [rtmp] onAck(before): sequenceNo=838679895, sentBytes=838584945, sendLimit=839928974(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:01 33:390] _INFO [6920] [rtmp] onAck(after): sequenceNo=838679895, sentBytes=838679895, sendLimit=841179895(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:01 37:687] _INFO [6920] [rtmp] onAck(before): sequenceNo=839931825, sentBytes=839916655, sendLimit=841179895(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:01 37:687] _INFO [6920] [rtmp] onAck(after): sequenceNo=839931825, sentBytes=839931825, sendLimit=842431825(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:01 42:562] _INFO [6920] [rtmp] onAck(before): sequenceNo=841181933, sentBytes=841112944, sendLimit=842431825(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:01 42:562] _INFO [6920] [rtmp] onAck(after): sequenceNo=841181933, sentBytes=841181933, sendLimit=843681933(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:01 47:796] _INFO [6920] [rtmp] onAck(before): sequenceNo=842435428, sentBytes=842558442, sendLimit=843681933(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:01 47:796] _INFO [6920] [rtmp] onAck(after): sequenceNo=842435428, sentBytes=842435428, sendLimit=844935428(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:01 52:078] _INFO [6920] [rtmp] onAck(before): sequenceNo=843687559, sentBytes=843589753, sendLimit=844935428(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:01 52:078] _INFO [6920] [rtmp] onAck(after): sequenceNo=843687559, sentBytes=843687559, sendLimit=846187559(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:01 56:718] _INFO [6920] [rtmp] onAck(before): sequenceNo=844938178, sentBytes=844857193, sendLimit=846187559(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:01 56:718] _INFO [6920] [rtmp] onAck(after): sequenceNo=844938178, sentBytes=844938178, sendLimit=847438178(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 02:062] _INFO [6920] [rtmp] onAck(before): sequenceNo=846190019, sentBytes=846356305, sendLimit=847438178(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 02:062] _INFO [6920] [rtmp] onAck(after): sequenceNo=846190019, sentBytes=846190019, sendLimit=848690019(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 05:734] _INFO [6920] [rtmp] onAck(before): sequenceNo=847443575, sentBytes=847279578, sendLimit=848690019(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 05:734] _INFO [6920] [rtmp] onAck(after): sequenceNo=847443575, sentBytes=847443575, sendLimit=849943575(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 10:937] _INFO [6920] [rtmp] onAck(before): sequenceNo=848693626, sentBytes=848775140, sendLimit=849943575(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 10:937] _INFO [6920] [rtmp] onAck(after): sequenceNo=848693626, sentBytes=848693626, sendLimit=851193626(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 16:078] _INFO [6920] [rtmp] onAck(before): sequenceNo=849947362, sentBytes=850014388, sendLimit=851193626(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 16:078] _INFO [6920] [rtmp] onAck(after): sequenceNo=849947362, sentBytes=849947362, sendLimit=852447362(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 20:343] _INFO [6920] [rtmp] onAck(before): sequenceNo=851200509, sentBytes=851118390, sendLimit=852447362(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 20:343] _INFO [6920] [rtmp] onAck(after): sequenceNo=851200509, sentBytes=851200509, sendLimit=853700509(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 24:687] _INFO [6920] [rtmp] onAck(before): sequenceNo=852451542, sentBytes=852427434, sendLimit=853700509(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 24:687] _INFO [6920] [rtmp] onAck(after): sequenceNo=852451542, sentBytes=852451542, sendLimit=854951542(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 29:437] _INFO [6920] [rtmp] onAck(before): sequenceNo=853702066, sentBytes=853702404, sendLimit=854951542(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 29:437] _INFO [6920] [rtmp] onAck(after): sequenceNo=853702066, sentBytes=853702066, sendLimit=856202066(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 34:171] _INFO [6920] [rtmp] onAck(before): sequenceNo=854955954, sentBytes=854928309, sendLimit=856202066(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 34:171] _INFO [6920] [rtmp] onAck(after): sequenceNo=854955954, sentBytes=854955954, sendLimit=857455954(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 39:296] _INFO [6920] [rtmp] onAck(before): sequenceNo=856206302, sentBytes=856215859, sendLimit=857455954(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 39:296] _INFO [6920] [rtmp] onAck(after): sequenceNo=856206302, sentBytes=856206302, sendLimit=858706302(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 44:625] _INFO [6920] [rtmp] onAck(before): sequenceNo=857459889, sentBytes=857488864, sendLimit=858706302(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 44:625] _INFO [6920] [rtmp] onAck(after): sequenceNo=857459889, sentBytes=857459889, sendLimit=859959889(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 48:609] _INFO [6920] [rtmp] onAck(before): sequenceNo=858713644, sentBytes=858687659, sendLimit=859959889(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 48:609] _INFO [6920] [rtmp] onAck(after): sequenceNo=858713644, sentBytes=858713644, sendLimit=861213644(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 53:203] _INFO [6920] [rtmp] onAck(before): sequenceNo=859966136, sentBytes=859977396, sendLimit=861213644(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 53:203] _INFO [6920] [rtmp] onAck(after): sequenceNo=859966136, sentBytes=859966136, sendLimit=862466136(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:02 58:046] _INFO [6920] [rtmp] onAck(before): sequenceNo=861219900, sentBytes=861190872, sendLimit=862466136(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:02 58:046] _INFO [6920] [rtmp] onAck(after): sequenceNo=861219900, sentBytes=861219900, sendLimit=863719900(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 03:234] _INFO [6920] [rtmp] onAck(before): sequenceNo=862470893, sentBytes=862533422, sendLimit=863719900(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 03:234] _INFO [6920] [rtmp] onAck(after): sequenceNo=862470893, sentBytes=862470893, sendLimit=864970893(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 08:765] _INFO [6920] [rtmp] onAck(before): sequenceNo=863722403, sentBytes=863734487, sendLimit=864970893(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 08:765] _INFO [6920] [rtmp] onAck(after): sequenceNo=863722403, sentBytes=863722403, sendLimit=866222403(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 13:515] _INFO [6920] [rtmp] onAck(before): sequenceNo=864976126, sentBytes=864953398, sendLimit=866222403(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 13:515] _INFO [6920] [rtmp] onAck(after): sequenceNo=864976126, sentBytes=864976126, sendLimit=867476126(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 18:265] _INFO [6920] [rtmp] onAck(before): sequenceNo=866229923, sentBytes=866450783, sendLimit=867476126(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 18:265] _INFO [6920] [rtmp] onAck(after): sequenceNo=866229923, sentBytes=866229923, sendLimit=868729923(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 22:140] _INFO [6920] [rtmp] onAck(before): sequenceNo=867482133, sentBytes=867280694, sendLimit=868729923(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 22:140] _INFO [6920] [rtmp] onAck(after): sequenceNo=867482133, sentBytes=867482133, sendLimit=869982133(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 27:234] _INFO [6920] [rtmp] onAck(before): sequenceNo=868736000, sentBytes=868753312, sendLimit=869982133(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 27:234] _INFO [6920] [rtmp] onAck(after): sequenceNo=868736000, sentBytes=868736000, sendLimit=871236000(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 32:187] _INFO [6920] [rtmp] onAck(before): sequenceNo=869986934, sentBytes=869906587, sendLimit=871236000(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 32:187] _INFO [6920] [rtmp] onAck(after): sequenceNo=869986934, sentBytes=869986934, sendLimit=872486934(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 37:234] _INFO [6920] [rtmp] onAck(before): sequenceNo=871238003, sentBytes=871388360, sendLimit=872486934(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 37:234] _INFO [6920] [rtmp] onAck(after): sequenceNo=871238003, sentBytes=871238003, sendLimit=873738003(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 41:390] _INFO [6920] [rtmp] onAck(before): sequenceNo=872489530, sentBytes=872328978, sendLimit=873738003(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 41:390] _INFO [6920] [rtmp] onAck(after): sequenceNo=872489530, sentBytes=872489530, sendLimit=874989530(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 46:921] _INFO [6920] [rtmp] onAck(before): sequenceNo=873739984, sentBytes=873800051, sendLimit=874989530(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 46:921] _INFO [6920] [rtmp] onAck(after): sequenceNo=873739984, sentBytes=873739984, sendLimit=876239984(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 51:171] _INFO [6920] [rtmp] onAck(before): sequenceNo=874992218, sentBytes=874945034, sendLimit=876239984(type:3, code:0x00400000)
[ServerState.cpp               :  422] [14:03 51:171] _INFO [6920] [rtmp] onAck(after): sequenceNo=874992218, sentBytes=874992218, sendLimit=877492218(type:3, code:0x00400000)
[ServerState.cpp               :  396] [14:03 56:250] _INFO [6920] [rtmp] onAck(before): sequenceNo=876243758, sentBytes=876327778, sendLimit=877492218(type:3, code:0x00400000)
